Rk,Wk,Date,Day,Winner,Pts,,Loser,Pts,Notes
276,5,Sep 27 2008,Sat,Michigan,27,,(9) Wisconsin,25,
277,5,Sep 27 2008,Sat,Michigan State,42,@,Indiana,29,
278,5,Sep 27 2008,Sat,Mississippi,31,@,(4) Florida,30,
279,5,Sep 27 2008,Sat,Navy,24,@,(16) Wake Forest,17,
280,5,Sep 27 2008,Sat,Nevada,49,@,Nevada-Las Vegas,27,
281,5,Sep 27 2008,Sat,New Mexico,35,@,New Mexico State,24,
282,5,Sep 27 2008,Sat,North Carolina,28,@,Miami (FL),24,
283,5,Sep 27 2008,Sat,Northern Illinois,37,@,Eastern Michigan,0,
284,5,Sep 27 2008,Sat,Northwestern,22,@,Iowa,17,
285,5,Sep 27 2008,Sat,Notre Dame,38,,Purdue,21,
286,5,Sep 27 2008,Sat,Ohio,51,,Virginia Military Institute,31,
287,5,Sep 27 2008,Sat,(14) Ohio State,34,,Minnesota,21,
288,5,Sep 27 2008,Sat,(2) Oklahoma,35,,(24) Texas Christian,10,
289,5,Sep 27 2008,Sat,Oklahoma State,55,,Troy,24,
290,5,Sep 27 2008,Sat,Oregon,63,@,Washington State,14,
291,5,Sep 27 2008,Sat,(12) Penn State,38,,(22) Illinois,24,
292,5,Sep 27 2008,Sat,Pittsburgh,34,@,Syracuse,24,
293,5,Sep 27 2008,Sat,Rice,77,,North Texas,20,
294,5,Sep 27 2008,Sat,Rutgers,38,,Morgan State,0,
295,5,Sep 27 2008,Sat,San Diego State,45,,Idaho,17,
296,5,Sep 27 2008,Sat,San Jose State,20,@,Hawaii,17,
297,5,Sep 27 2008,Sat,South Carolina,26,,Alabama-Birmingham,13,
298,5,Sep 27 2008,Sat,(13) South Florida,41,@,North Carolina State,10,
299,5,Sep 27 2008,Sat,Stanford,35,@,Washington,28,
300,5,Sep 27 2008,Sat,(7) Texas,52,,Arkansas,10,
301,5,Sep 27 2008,Sat,Texas A&M,21,,Army,17,
302,5,Sep 27 2008,Sat,Texas-El Paso,58,,Central Florida,13,
303,5,Sep 27 2008,Sat,Tulsa,62,,Central Arkansas,34,
304,5,Sep 27 2008,Sat,(17) Utah,37,,Weber State,21,
305,5,Sep 27 2008,Sat,Virginia Tech,35,@,Nebraska,30,
306,5,Sep 27 2008,Sat,West Virginia,27,,Marshall,3,
