Rk,Wk,Date,Day,Winner,Pts,,Loser,Pts,Notes
229,5,Sep 30 2005,Fri,Rutgers,37,,Pittsburgh,29,
230,5,Oct 1 2005,Sat,(15) Alabama,31,,(5) Florida,3,
231,5,Oct 1 2005,Sat,Alabama-Birmingham,45,,Rice,26,
232,5,Oct 1 2005,Sat,Auburn,48,,South Carolina,7,
233,5,Oct 1 2005,Sat,Boise State,44,@,Hawaii,41,
234,5,Oct 1 2005,Sat,(21) Boston College,38,,Ball State,0,
235,5,Oct 1 2005,Sat,Bowling Green State,70,,Temple,7,
236,5,Oct 1 2005,Sat,(12) California,28,,Arizona,0,
237,5,Oct 1 2005,Sat,Central Florida,24,@,Louisiana,21,
238,5,Oct 1 2005,Sat,Central Michigan,31,@,Akron,17,
239,5,Oct 1 2005,Sat,Colorado,34,@,Oklahoma State,0,
240,5,Oct 1 2005,Sat,Connecticut,47,@,Army,13,
241,5,Oct 1 2005,Sat,Eastern Michigan,27,,Kent State,20,
242,5,Oct 1 2005,Sat,Florida International,23,,Florida A&M,6,
243,5,Oct 1 2005,Sat,(6) Florida State,38,,Syracuse,14,
244,5,Oct 1 2005,Sat,Houston,30,@,Tulsa,23,
245,5,Oct 1 2005,Sat,Idaho,27,,Utah State,13,
246,5,Oct 1 2005,Sat,Iowa,35,,Illinois,7,
247,5,Oct 1 2005,Sat,(4) Louisiana State,37,@,Mississippi State,7,
248,5,Oct 1 2005,Sat,Louisiana Tech,34,,New Mexico State,14,
249,5,Oct 1 2005,Sat,Louisiana-Monroe,31,,Arkansas State,27,
250,5,Oct 1 2005,Sat,(24) Louisville,61,,Florida Atlantic,10,
251,5,Oct 1 2005,Sat,Marshall,16,,Southern Methodist,13,
252,5,Oct 1 2005,Sat,Maryland,45,,(19) Virginia,33,
253,5,Oct 1 2005,Sat,Memphis,27,,Texas-El Paso,20,
254,5,Oct 1 2005,Sat,(9) Miami (FL),27,,South Florida,7,
255,5,Oct 1 2005,Sat,Michigan,34,@,(11) Michigan State,31,
256,5,Oct 1 2005,Sat,Middle Tennessee State,17,@,Vanderbilt,15,
257,5,Oct 1 2005,Sat,Navy,28,@,Duke,21,
258,5,Oct 1 2005,Sat,Nebraska,27,,(23) Iowa State,20,
259,5,Oct 1 2005,Sat,Nevada,30,@,San Jose State,23,
260,5,Oct 1 2005,Sat,North Carolina,31,,Utah,17,
261,5,Oct 1 2005,Sat,(13) Notre Dame,49,@,(22) Purdue,28,
262,5,Oct 1 2005,Sat,Oklahoma,43,,Kansas State,21,
263,5,Oct 1 2005,Sat,Oregon,44,@,Stanford,20,
264,5,Oct 1 2005,Sat,Oregon State,44,,Washington State,33,
265,5,Oct 1 2005,Sat,Penn State,44,,(18) Minnesota,14,
266,5,Oct 1 2005,Sat,San Diego State,31,,Brigham Young,10,
267,5,Oct 1 2005,Sat,(1) Southern California,38,@,(14) Arizona State,28,
268,5,Oct 1 2005,Sat,Southern Mississippi,33,@,East Carolina,7,
269,5,Oct 1 2005,Sat,(10) Tennessee,27,,Mississippi,10,
270,5,Oct 1 2005,Sat,(2) Texas,51,@,Missouri,20,
271,5,Oct 1 2005,Sat,Texas A&M,16,,Baylor,13,
272,5,Oct 1 2005,Sat,Texas Christian,49,,New Mexico,28,
273,5,Oct 1 2005,Sat,(16) Texas Tech,30,,Kansas,17,
274,5,Oct 1 2005,Sat,Tulane,28,,Southeastern Louisiana,21,
275,5,Oct 1 2005,Sat,(20) UCLA,21,,Washington,17,
276,5,Oct 1 2005,Sat,(3) Virginia Tech,34,@,West Virginia,17,
277,5,Oct 1 2005,Sat,Wake Forest,31,,Clemson,27,
278,5,Oct 1 2005,Sat,Western Michigan,31,,Buffalo,21,
279,5,Oct 1 2005,Sat,(17) Wisconsin,41,,Indiana,24,
280,5,Oct 1 2005,Sat,Wyoming,42,,Nevada-Las Vegas,17,
281,6,Oct 4 2005,Tue,Troy,13,@,North Texas,10,
282,6,Oct 5 2005,Wed,Northern Illinois,38,,Miami (OH),27,
283,6,Oct 6 2005,Thu,Florida Atlantic,28,@,Louisiana,10,
284,6,Oct 6 2005,Thu,North Carolina State,17,@,(24) Georgia Tech,14,
285,6,Oct 7 2005,Fri,Connecticut,26,,Syracuse,7,
286,6,Oct 8 2005,Sat,Akron,13,@,Buffalo,7,
287,6,Oct 8 2005,Sat,Arkansas,44,,Louisiana-Monroe,15,
288,6,Oct 8 2005,Sat,Ball State,60,@,Western Michigan,57,
289,6,Oct 8 2005,Sat,Baylor,23,@,Iowa State,13,
290,6,Oct 8 2005,Sat,Boise State,21,,Portland State,14,
291,6,Oct 8 2005,Sat,(18) Boston College,28,,Virginia,17,
292,6,Oct 8 2005,Sat,Bowling Green State,38,,Ohio,14,
293,6,Oct 8 2005,Sat,Brigham Young,27,@,New Mexico,24,
294,6,Oct 8 2005,Sat,Central Florida,38,,Memphis,17,
295,6,Oct 8 2005,Sat,Central Michigan,14,@,Army,10,
296,6,Oct 8 2005,Sat,Colorado,41,,Texas A&M,20,
297,6,Oct 8 2005,Sat,Colorado State,21,,Utah,17,
298,6,Oct 8 2005,Sat,East Carolina,41,,Rice,28,
299,6,Oct 8 2005,Sat,(13) Florida,35,,Mississippi State,9,
300,6,Oct 8 2005,Sat,(4) Florida State,41,,Wake Forest,24,
301,6,Oct 8 2005,Sat,Fresno State,37,@,New Mexico State,7,
302,6,Oct 8 2005,Sat,(5) Georgia,27,@,(8) Tennessee,14,
303,6,Oct 8 2005,Sat,Houston,35,,Tulane,14,
304,6,Oct 8 2005,Sat,Indiana,36,,Illinois,13,
305,6,Oct 8 2005,Sat,Iowa,34,@,Purdue,17,
306,6,Oct 8 2005,Sat,Kansas State,12,,Kansas,3,
307,6,Oct 8 2005,Sat,(11) Louisiana State,34,@,Vanderbilt,6,
308,6,Oct 8 2005,Sat,Louisiana Tech,46,,Hawaii,14,
309,6,Oct 8 2005,Sat,(23) Louisville,69,,North Carolina,14,
310,6,Oct 8 2005,Sat,Maryland,38,@,Temple,7,
311,6,Oct 8 2005,Sat,(9) Miami (FL),52,,Duke,7,
312,6,Oct 8 2005,Sat,Minnesota,23,@,(21) Michigan,20,
313,6,Oct 8 2005,Sat,Mississippi,27,,Citadel,7,
314,6,Oct 8 2005,Sat,Missouri,38,@,Oklahoma State,31,
315,6,Oct 8 2005,Sat,Navy,27,,Air Force,24,
316,6,Oct 8 2005,Sat,Nevada,62,,Idaho,14,
