date,win_team,lose_team,win_score,lose_score,location,date_comments,overtime
2012-10-12,Williamsburg,Berea,47,12,0,,0
2012-10-13,Covington Catholic,Harrison County,61,0,1,,0
2012-10-18,Newport Central Catholic,Holy Cross (Covington),49,10,0,,0
2012-10-19,Anderson County,East Jessamine,63,19,1,,0
2012-10-19,Belfry,Pike County Central,48,12,1,,0
2012-10-19,Betsy Layne,Shelby Valley,40,14,1,,0
2012-10-19,Bourbon County,Bath County,28,27,1,(double overtime),0
2012-10-19,Bowling Green,Greenwood,53,0,1,,0
2012-10-19,Boyle County,Mercer County,59,19,1,,0
2012-10-19,Butler,Seneca,35,6,0,,0
2012-10-19,Caldwell County,Crittenden County,49,0,1,,0
2012-10-19,Campbell County,Boone County,48,28,1,,0
2012-10-19,Central,LaRue County,16,8,1,,0
2012-10-19,Clay County,Rockcastle County,27,8,1,,0
2012-10-19,Collins,Atherton,41,10,1,,0
2012-10-19,Conner,Scott,39,32,0,,0
2012-10-19,Cooper,Grant County,42,6,1,,0
2012-10-19,Corbin,Casey County,57,22,0,,0
2012-10-19,Daviess County,Marshall County,42,9,1,,0
2012-10-19,DuPont Manual,Male,24,14,0,,0
2012-10-19,Fort Campbell,Heath,68,14,1,,0
2012-10-19,Frankfort,Eminence,70,14,1,,0
2012-10-19,Franklin County,Montgomery County,63,21,0,,0
2012-10-19,Glasgow,Metcalfe County,49,0,0,,0
2012-10-19,Graves County,Hopkinsville,79,40,0,,0
2012-10-19,Hancock County,Butler County,61,12,0,,0
2012-10-19,Harlan,Jenkins,56,0,1,,0
2012-10-19,Harlan County,Perry County Central,55,20,0,,0
2012-10-19,Hazard,Pineville,28,22,0,,0
2012-10-19,Henderson County,Muhlenberg County,55,0,1,,0
2012-10-19,Henry Clay,Bryan Station,33,31,1,,0
2012-10-19,Lafayette,Tates Creek,28,14,1,,0
2012-10-19,Lewis County,West Carter,48,20,0,,0
2012-10-19,Lexington Catholic,Marion County,55,6,1,,0
2012-10-19,Lloyd Memorial,Newport,30,19,1,,0
2012-10-19,Lone Oak,Madisonville-North Hopkins,27,10,0,,0
2012-10-19,Mason County,Fleming County,34,0,0,,0
2012-10-19,Monroe County,Edmonson County,60,14,1,,0
2012-10-19,Murray,Reidland,62,0,0,,0
2012-10-19,Nelson County,Central Hardin,28,27,1,,0
2012-10-19,Owen County,Gallatin County,59,22,1,,0
2012-10-19,Owensboro,Hopkins County Central,55,7,1,,0
2012-10-19,Paris,Bracken County,28,26,1,,0
2012-10-19,Powell County,Western Hills,42,26,1,,0
2012-10-19,Pulaski County,Southwestern,28,14,0,,0
2012-10-19,Russell,East Carter,28,7,0,,0
2012-10-19,Russell County,Knox Central,35,19,0,,0
2012-10-19,Scott County,Paul Laurence Dunbar,68,6,1,,0
2012-10-19,Shelby County,Bullitt East,42,21,0,,0
2012-10-19,Somerset,Middlesboro,26,18,0,,0
2012-10-19,South Warren,Adair County,42,23,0,,0
2012-10-19,Spencer County,North Oldham,21,7,1,,0
2012-10-19,Taylor County,Barren County,35,14,0,,0
2012-10-19,Union County,Todd County Central,55,27,1,,0
2012-10-19,Walton-Verona,Bishop Brossart,45,0,1,,0
2012-10-19,Warren Central,Logan County,60,10,0,,0
2012-10-19,Warren East,Breckinridge County,49,0,1,,0
2012-10-19,West Jessamine,Woodford County,55,28,1,,0
2012-10-20,North Bullitt,Trigg County,18,15,1,,0
2012-10-25,Graves County,Marshall County,42,14,1,,0
2012-10-25,Greenwood,Central Hardin,35,34,0,,0
2012-10-26,Anderson County,Marion County,28,12,1,,0
2012-10-26,Bath County,Nicholas County,64,24,1,,0
2012-10-26,Bellevue,Lloyd Memorial,30,7,1,,0
2012-10-26,Betsy Layne,Jenkins,52,16,1,,0
2012-10-26,Bourbon County,Paris,48,0,1,,0
2012-10-26,Bowling Green,Lexington Catholic,35,21,1,,0
2012-10-26,Boyle County,Whitley County,38,7,0,,0
2012-10-26,Breathitt County,Clay County,58,29,1,,0
2012-10-26,Bryan Station,Collins,55,52,1,(overtime),1
2012-10-26,Butler County,Edmonson County,26,21,1,,0
2012-10-26,Calloway County,Trigg County,35,28,0,,0
2012-10-26,Christian County,Pulaski County,34,20,0,,0
2012-10-26,Conner,Covington Catholic,13,12,1,,0
2012-10-26,Corbin,Harlan,42,13,1,,0
2012-10-26,Daviess County,Ohio County,48,0,0,,0
2012-10-26,DuPont Manual,Moore,35,0,1,,0
2012-10-26,East Carter,Morgan County,41,18,1,,0
2012-10-26,Fleming County,Grant County,16,0,0,,0
2012-10-26,Fort Campbell,Hopkinsville,57,35,0,,0
2012-10-26,Gallatin County,Bethlehem,15,14,0,,0
2012-10-26,Garrard County,Madison Southern,14,13,1,,0
2012-10-26,Glasgow,Elizabethtown,47,6,0,,0
2012-10-26,Hancock County,Breckinridge County,57,13,0,,0
2012-10-26,Harlan County,Bell County,40,34,1,,0
2012-10-26,Hazard,Sheldon Clark,50,28,1,,0
2012-10-26,Henderson County,Owensboro,49,21,1,,0
2012-10-26,Highlands,Ryle,58,13,0,,0
2012-10-26,John Hardin,Boone County,34,14,0,,0
2012-10-26,Knox Central,Madison Central,44,36,0,(overtime),1
2012-10-26,LaRue County,Washington County,49,7,1,,0
2012-10-26,Lone Oak,Heath,47,8,1,,0
2012-10-26,Madisonville-North Hopkins,Crittenden County,27,7,1,,0
2012-10-26,Male,Christian Academy-Louisville,21,0,0,,0
2012-10-26,Mayfield,Caldwell County,48,7,1,,0
2012-10-26,Mercer County,Paul Laurence Dunbar,54,14,0,(corrected score),0
2012-10-26,Monroe County,Allen County-Scottsville,45,33,1,,0
2012-10-26,Montgomery County,Rockcastle County,18,7,0,,0
2012-10-26,Muhlenberg County,Barren County,38,24,1,,0
2012-10-26,Nelson County,Bullitt East,35,28,1,,0
2012-10-26,Owen County,Ludlow,48,14,0,,0
2012-10-26,Owensboro Catholic,North Hardin,31,13,1,,0
2012-10-26,Pikeville,Shelby Valley,48,8,0,,0
2012-10-26,Pleasure Ridge Park,Central,15,14,1,,0
2012-10-26,Prestonsburg,Pike County Central,41,18,1,,0
2012-10-26,Raceland,Russell,25,14,0,,0
2012-10-26,Reidland,Fulton City,35,6,1,,0
2012-10-26,Russell County,Adair County,66,14,1,,0
2012-10-26,Scott,Bishop Brossart,69,8,0,,0
2012-10-26,Scott County,Simon Kenton,56,6,1,,0
2012-10-26,Shelby County,South Oldham,33,21,0,,0
2012-10-26,Somerset,Perry County Central,28,20,1,,0
2012-10-26,South Warren,Todd County Central,30,6,0,,0
2012-10-26,Taylor County,Hart County,33,28,1,,0
2012-10-26,Union County,Hopkins County Central,48,13,0,,0
2012-10-26,Warren Central,Southwestern,58,7,0,,0
2012-10-26,Warren East,Bullitt Central,35,6,0,,0
2012-10-26,Wayne County,East Jessamine,31,14,0,,0
2012-10-26,Woodford County,Harrison County,38,10,0,,0
2012-11-02,Bellevue,Eminence,48,8,1,Class 1A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-02,Frankfort,Ludlow,78,0,1,Class 1A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-02,Hazard,Berea,62,18,1,Class 1A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-02,Kentucky Country Day,Fulton City,62,14,1,Class 1A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-02,Nicholas County,South Floyd,35,28,0,Class 1A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-02,Williamsburg,Jenkins,60,6,1,Class 1A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-02,Caldwell County,Butler County,51,14,1,Class 2A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-02,Glasgow,Washington County,49,0,1,Class 2A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-02,Hancock County,Ballard Memorial,55,14,1,Class 2A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-02,Holy Cross (Covington),Owen County,42,32,0,Class 2A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-02,Lloyd Memorial,Carroll County,34,20,1,Class 2A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-02,Owensboro Catholic,Crittenden County,58,0,1,Class 2A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-02,Prestonsburg,Middlesboro,36,33,1,Class 2A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-02,Somerset,Shelby Valley,49,6,1,Class 2A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-02,Walton-Verona,Newport,42,7,1,Class 2A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-02,Bell County,Elizabethtown,47,0,1,Class 3A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-02,Bourbon County,Lewis County,56,12,1,Class 3A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-02,Breathitt County,Sheldon Clark,59,14,1,Class 3A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-02,Central,Casey County,78,20,1,Class 3A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-02,Fleming County,Bath County,37,36,0,Class 3A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-02,Fort Campbell,Hart County,57,8,1,Class 3A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-02,Garrard County,Russell,12,7,0,Class 3A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-02,LaRue County,Corbin,36,16,1,Class 3A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-02,Lawrence County,Morgan County,22,14,0,Class 3A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-02,Mason County,Powell County,48,21,1,Class 3A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-02,Monroe County,Heath,49,7,1,Class 3A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-02,Paducah Tilghman,Adair County,57,14,1,Class 3A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-02,South Warren,Trigg County,16,7,1,Class 3A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-02,Boyle County,Clay County,72,20,1,Class 4A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-02,Doss,North Oldham,36,27,1,Class 4A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-02,Knox Central,Mercer County,41,20,1,Class 4A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-02,Lexington Catholic,Rockcastle County,48,0,1,Class 4A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-02,Madisonville-North Hopkins,Allen County-Scottsville,21,6,0,Class 4A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-02,Nelson County,Spencer County,56,14,0,Class 4A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-02,Owensboro,Breckinridge County,56,0,1,Class 4A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-02,Russell County,Marion County,52,0,1,Class 4A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-02,Warren East,Calloway County,49,7,1,Class 4A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-02,Christian County,Greenwood,41,28,1,Class 5A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-02,Conner,Montgomery County,49,20,1,Class 5A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-02,Cooper,Anderson County,48,0,0,Class 5A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-02,Franklin County,Scott,48,10,1,Class 5A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-02,Graves County,Logan County,76,29,1,Class 5A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-02,Jeffersontown,Bullitt East,17,16,1,Class 5A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-02,John Hardin,North Bullitt,56,14,1,Class 5A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-02,Madison Southern,Perry County Central,37,36,1,Class 5A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-02,Shelby County,North Hardin,35,28,1,Class 5A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-02,South Oldham,West Jessamine,43,32,1,Class 5A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-02,Warren Central,Hopkinsville,67,7,1,Class 5A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-02,Whitley County,North Laurel,41,20,1,Class 5A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-02,Campbell County,Paul Laurence Dunbar,57,0,1,Class 6A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-02,Central Hardin,Seneca,50,22,1,Class 6A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-02,Eastern,Marshall County,49,7,1,Class 6A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-02,Madison Central,DuPont Manual,40,21,1,Class 6A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-02,Male,Lafayette,17,3,0,Class 6A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-02,Pleasure Ridge Park,Boone County,44,20,1,Class 6A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-02,Scott County,Ryle,42,10,1,Class 6A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-02,Simon Kenton,Bryan Station,29,22,0,Class 6A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-02,St. Xavier,Tates Creek,66,13,1,Class 6A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-03,Covington Catholic,Rowan County,67,3,1,Class 4A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-09,Frankfort,Bellevue,26,0,1,Class 1A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-09,Hazard,Pineville,47,14,1,Class 1A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-09,Pikeville,Raceland,26,20,1,Class 1A Russell Athletic/KHSAA Commonwealth Gridiron Bowl (overtime),1
2012-11-09,Williamsburg,Harlan,34,15,1,Class 1A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-09,Caldwell County,Hancock County,52,25,1,Class 2A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-09,DeSales,Christian Academy-Louisville,21,16,0,Class 2A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-09,Murray,Owensboro Catholic,29,22,0,Class 2A Russell Athletic/KHSAA Commonwealth Gridiron Bowl (double overtime),0
2012-11-09,Somerset,Lexington Christian,42,19,1,Class 2A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-09,Walton-Verona,Lloyd Memorial,33,26,1,Class 2A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-09,Belfry,Lawrence County,48,6,1,Class 3A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-09,Bell County,LaRue County,35,14,1,Class 3A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-09,Bourbon County,Garrard County,49,8,1,Class 3A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-09,Breathitt County,Pike County Central,54,18,1,Class 3A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-09,Central,Wayne County,21,18,1,Class 3A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-09,Mason County,Fleming County,40,21,1,Class 3A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-09,Monroe County,Paducah Tilghman,28,20,1,Class 3A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-09,South Warren,Fort Campbell,24,7,0,Class 3A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-09,Boyle County,Russell County,14,6,0,Class 4A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-09,Collins,Doss,49,30,1,Class 4A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-09,Highlands,Ashland Blazer,52,13,1,Class 4A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-09,Lexington Catholic,Knox Central,35,6,1,Class 4A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-09,Owensboro,Madisonville-North Hopkins,31,7,1,Class 4A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-09,Warren East,Lone Oak,42,9,1,Class 4A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-09,Bowling Green,Christian County,31,17,1,Class 5A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-09,Cooper,South Oldham,49,28,0,Class 5A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-09,Franklin County,Conner,62,59,1,Class 5A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-09,Harlan County,Madison Southern,41,24,1,Class 5A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-09,Jeffersontown,Shelby County,42,33,0,Class 5A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-09,Pulaski County,Whitley County,28,13,1,Class 5A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-09,Warren Central,Graves County,21,14,0,Class 5A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-09,Eastern,Henderson County,21,17,0,Class 6A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-09,Pleasure Ridge Park,Central Hardin,48,18,1,Class 6A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-09,Simon Kenton,Campbell County,29,21,0,Class 6A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-09,St. Xavier,Male,55,14,1,Class 6A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-09,Trinity (Louisville),Madison Central,62,8,1,Class 6A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-16,Hazard,Williamsburg,7,0,1,Class 1A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-16,Mayfield,Kentucky Country Day,35,14,0,Class 1A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-16,Caldwell County,Murray,10,7,1,Class 2A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-16,DeSales,Glasgow,10,2,0,Class 2A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-16,Newport Central Catholic,Walton-Verona,49,14,1,Class 2A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-16,Belfry,Breathitt County,41,20,1,Class 3A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-16,Bourbon County,Mason County,55,13,0,Class 3A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-16,Central,Bell County,14,10,0,Class 3A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-16,Monroe County,South Warren,20,10,1,Class 3A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-16,Highlands,Covington Catholic,28,13,1,Class 4A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-16,Lexington Catholic,Boyle County,27,16,1,Class 4A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-16,Warren East,Owensboro,14,7,1,Class 4A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-16,Bowling Green,Warren Central,35,21,1,Class 5A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-16,Cooper,Franklin County,40,27,0,Class 5A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-16,Harlan County,Pulaski County,46,12,1,Class 5A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-16,John Hardin,Jeffersontown,47,0,1,Class 5A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-16,Pleasure Ridge Park,Butler,28,21,1,Class 6A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-23,Caldwell County,DeSales,43,31,0,Class 2A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-23,Newport Central Catholic,Somerset,27,18,0,Class 2A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-23,Belfry,Bourbon County,35,10,1,Class 3A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-23,Central,Monroe County,18,13,1,Class 3A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-23,Collins,Warren East,58,7,1,Class 4A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-23,Highlands,Lexington Catholic,61,28,1,Class 4A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-23,Bowling Green,John Hardin,14,13,0,Class 5A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-23,Cooper,Harlan County,17,7,0,Class 5A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-23,Pleasure Ridge Park,Eastern,61,21,1,Class 6A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
2012-11-23,Trinity (Louisville),Scott County,21,14,1,Class 6A Russell Athletic/KHSAA Commonwealth Gridiron Bowl,0
