name,region,id,rating,massey,colley,elo,wins,losses,games_played
Russell,3,15,61.78,54.58,71.09,59.66,8,4,11
Franklin County,3,12,61.66,57.12,71.51,56.36,9,2,11
Whitley County,4,168,61.61,58.35,66.25,60.23,8,3,11
Crittenden County,1,59,61.28,45.11,69.79,68.95,10,2,12
Ryle,3,22,60.87,65.69,67.34,49.58,6,5,11
Boone County,3,28,60.26,70.94,64.62,45.21,5,6,9
Bardstown,2,110,60.09,51.28,68.62,60.37,9,2,11
Mason County,3,13,59.87,57.7,64.06,57.85,8,3,11
Eminence,NaN,210,58.96,35.24,67.99,73.65,11,1,11
Marshall County,1,73,58.73,55.68,60.23,60.29,7,5,12
Somerset,2,108,58.62,50.44,64.13,61.3,10,4,14
Harrison County,3,16,58.61,47.68,67.48,60.67,8,4,12
Danville,2,124,57.99,51.26,60.86,61.85,7,6,13
Bullitt East,2,114,57.74,50.09,58.44,64.69,9,5,14
Owensboro Catholic,1,67,57.6,51.73,61,60.08,8,5,12
Holmes,3,18,57.52,58.18,67.22,47.17,8,4,12
Calloway County,1,61,57.52,52.57,65.78,54.22,8,3,11
Harlan,4,160,57.48,40.71,70.11,61.62,11,2,12
Covington Catholic,3,34,57.41,69.29,60.08,42.86,4,7,10
Belfry,4,169,56.96,50.87,59.43,60.59,8,4,11
Union County,1,69,56.14,54.62,58.63,55.18,7,4,11
Ballard,3,24,56.01,59.11,57.37,51.55,6,5,11
Hopkins County Central,1,62,55.99,54.01,61.23,52.73,8,3,11
Garrard County,3,20,55.49,51.14,63.24,52.08,7,5,12
North Hardin,2,121,55.35,53.1,58.09,54.86,7,4,11
Central Hardin,2,119,55.04,51.32,58.52,55.3,7,4,11
Murray,1,63,54.09,43.07,63.4,55.81,8,4,12
